ActuatorForces																																			
version=1																																			
nRows=82																																			
nColumns=36																																			
inDegrees=no																																			
																																			
"This file contains either the forces, speeds, or powers developed"																																			
by the actuators of a model during a simulation.																																			
																																			
"An actuator force is a generalized force, meaning that it can be either a force (N) or a torque (Nm)."																																			
																																			
"An actuator speed is the rate at which an actuator shortens. Depending on the actuator,"																																			
a speed can be either a translational speed (m/s) or an angular speed (deg/s or rad/s).																																			
																																			
An actuator power (Watts) is the rate at which an actuator does work.  Positive power means																																			
that the actuator is delivering energy to the model; negative power means that the actuator																																			
is absorbing energy from the model.																																			
																																			
"Units are S.I. units (second, meters, Newtons, ...)"																																			
Angles are in degrees.																																			
																																			
endheader																																			
time	glut_med2_r	add_mag2_r	glut_max2_r	iliacus_r	rect_fem_r	vas_int_r	med_gas_r	tib_ant_r	FX	FY	FZ	MX	MY	MZ	hip_flexion_r_reserve	hip_adduction_r_reserve	hip_rotation_r_reserve	knee_angle_r_reserve	ankle_angle_r_reserve	subtalar_angle_r_reserve	mtp_angle_r_reserve	hip_flexion_l_reserve	hip_adduction_l_reserve	hip_rotation_l_reserve	knee_angle_l_reserve	ankle_angle_l_reserve	subtalar_angle_l_reserve	mtp_angle_l_reserve	lumbar_extension_reserve	lumbar_bending_reserve	lumbar_rotation_reserve				
0.731043096	513.4516671	481.2067285	508.586962	15.00342369	32.6085081	420.0451769	15.2161887	130.0260424	-0.210017987	-2.610148416	-1.886686675	9.428250134	-4.684830648	16.48755803	-8.331984603	-5.244728513	-1.949657849	0.000282834	1.098045569	8.410323976	0.071308646	38.12961391	-8.603565282	-0.905161563	6.136603026	-32.2071195	3.923321413	0.073005322	39.40713083	-26.99437947	-3.748565674	0	-2.31584E+77	-2.31584E+77	28.92942103
0.740000269	499.8982805	465.1989974	494.4994853	15.75643859	32.96340545	494.9863911	18.89750937	105.4235575	-0.353394695	-3.548738944	-1.431077817	5.549060548	-4.037006125	14.65065007	-16.23645297	-12.27976517	-0.701341035	0.000382263	0.639601368	8.712031244	0.069641106	38.59763211	-5.734365768	-1.098541484	7.016355346	-25.68790776	3.3940411	0.074637531	41.15843634	-31.45228968	-3.969969664	0	-2.31584E+77	-2.31584E+77	28.92942103
0.745560951	492.5605432	427.7135364	483.826367	16.2407857	33.22949068	545.0759303	31.7931831	91.08420643	0.602997133	-4.717232161	2.601673232	-1.299235519	-5.140401149	14.22609636	-16.23645297	-12.27976517	-0.701341035	0.000382263	0.639601368	8.712031244	0.069641106	38.59763211	-5.734365768	-1.098541484	7.016355346	-25.68790776	3.3940411	0.074637531	41.15843634	-31.45228968	-3.969969664	0	-2.31584E+77	-2.31584E+77	28.92942103
0.751018838	493.6325882	371.4046578	474.8532171	16.52018356	33.40525037	572.197665	51.41758491	76.53944686	1.351492472	-5.63085489	6.102982396	-7.491328799	-5.927548049	13.32018394	-22.54304828	-13.66572827	0.350378178	0.000480836	0.609759947	8.942454586	0.066627778	34.87412152	-2.681850809	-1.660417042	5.829877387	-19.53444567	2.885294112	0.088578789	41.79303178	-35.3389354	-4.173756763	0	-2.31584E+77	-2.31584E+77	28.92942103
0.760000738	497.410267	293.790747	460.8496722	17.00152845	33.79107903	630.8222928	111.6809209	53.41591042	1.219341125	-5.461774583	8.588828977	-13.88371538	-5.101462452	8.32186159	-22.85370062	-13.6295263	1.207381256	0.000580931	0.734694909	9.274268834	0.062177664	32.00782218	1.362946569	-2.205577566	5.700282844	-12.29339138	1.963365236	0.105118362	42.29886383	-38.05522552	-4.408910581	0	-2.31584E+77	-2.31584E+77	28.92942103
0.768602228	510.4894836	296.0353526	461.898903	17.06125219	33.83780349	696.50735	166.1804656	42.34766391	0.528013196	-4.996363755	8.873400562	-14.94873808	-2.243148765	5.927802333	-22.85370062	-13.6295263	1.207381256	0.000580931	0.734694909	9.274268834	0.062177664	32.00782218	1.362946569	-2.205577566	5.700282844	-12.29339138	1.963365236	0.105118362	42.29886383	-38.05522552	-4.408910581	0	-2.31584E+77	-2.31584E+77	28.92942103
0.773629695	522.0344529	313.3331727	465.2870366	16.98418883	33.7578222	734.6277872	188.0243397	39.57585178	0.806091503	-4.543987356	7.508495178	-13.96510188	-0.14383989	5.942681703	-19.24109765	-11.29358531	1.826818303	0.000650482	0.628314601	9.899210713	0.056856482	30.81827	4.290982988	-2.497409563	6.563017642	-5.413250862	0.85954935	0.120067324	42.12631201	-40.5286831	-4.482433759	0	-2.31584E+77	-2.31584E+77	28.92942103
0.780048706	540.7403593	337.4449168	469.0376288	17.07720472	33.69870352	785.7577843	214.923973	36.43238269	1.50285122	-3.885346845	5.005726415	-11.9171402	2.741979917	6.662413385	-14.93839321	-8.645095404	2.205851135	0.000705814	0.694221892	10.66865356	0.052047837	29.6850489	4.824530646	-2.608973896	7.067844509	-2.05998682	0.032559584	0.137643865	41.66494019	-42.52613595	-4.66038256	0	-2.31584E+77	-2.31584E+77	28.92942103
0.790000728	562.1765821	346.4736611	466.2201747	17.3801601	33.68805656	840.3905899	275.2561982	30.34759431	3.862585193	-4.410067054	-0.332764043	-8.263485688	6.137723166	8.874299911	-12.12460602	-6.924264724	2.411856111	0.000888877	0.770803966	11.34881189	0.048267024	25.65814679	4.267382005	-2.188329088	6.545703266	-1.918104874	-0.218153006	0.159463519	40.68243171	-42.94460174	-4.913833113	0	-2.31584E+77	-2.31584E+77	28.92942103
0.798619486	561.9217733	322.9461974	452.1403311	17.93881884	34.03636957	848.7241149	332.1754225	28.49851602	4.049569324	-5.702631511	-3.093486832	-6.234432509	7.258063343	6.981907566	-12.12460602	-6.924264724	2.411856111	0.000888877	0.770803966	11.34881189	0.048267024	25.65814679	4.267382005	-2.188329088	6.545703266	-1.918104874	-0.218153006	0.159463519	40.68243171	-42.94460174	-4.913833113	0	-2.31584E+77	-2.31584E+77	28.92942103
