time	glut_med1_r	glut_med2_r	glut_med3_r	bifemlh_r	bifemsh_r	sar_r	add_mag2_r	tfl_r	pect_r	grac_r	glut_max1_r	glut_max2_r	glut_max3_r	iliacus_r	psoas_r	quad_fem_r	gem_r	peri_r	rect_fem_r	vas_int_r	med_gas_r	soleus_r	tib_post_r	tib_ant_r	glut_med1_l	glut_med2_l	glut_med3_l	bifemlh_l	bifemsh_l	sar_l	add_mag2_l	tfl_l	pect_l	grac_l	glut_max1_l	glut_max2_l	glut_max3_l	iliacus_l	psoas_l	quad_fem_l	gem_l	peri_l	rect_fem_l	vas_int_l	med_gas_l	soleus_l	tib_post_l	tib_ant_l	ercspn_r	ercspn_l	intobl_r	intobl_l	extobl_r	extobl_l	FX	FY	FZ	MX	MY	MZ	hip_flexion_r_reserve	hip_adduction_r_reserve	hip_rotation_r_reserve	knee_angle_r_reserve	ankle_angle_r_reserve	subtalar_angle_r_reserve	mtp_angle_r_reserve	hip_flexion_l_reserve	hip_adduction_l_reserve	hip_rotation_l_reserve	knee_angle_l_reserve	ankle_angle_l_reserve	subtalar_angle_l_reserve	mtp_angle_l_reserve	lumbar_extension_reserve	lumbar_bending_reserve	lumbar_rotation_reserve
0.83	373.7410372	188.3141747	183.3734738	324.3929995	18.1075045	4.232762979	12.07400368	11.50494398	4.7083577	2.486043709	33.92019418	60.90395676	6.927196689	33.75111644	34.36894784	1.887806612	1.647799492	42.45212314	34.99707969	955.9181224	74.61549642	282.5344838	1304.603397	294.198679	42.26629415	19.19982899	13.42508725	181.9796695	106.835587	6.043575235	70.82698175	12.39148204	9.249148974	9.459275603	10.75095309	17.36750206	10.40489579	139.3712195	144.4386603	4.531785586	1.425259211	0.915745569	108.9982984	165.3407983	7.045509561	22.46051695	71.33609197	93.77260956	399.3589913	915.8594301	10.64260302	123.8934352	9.181720496	26.88428933	-2.155780404	7.358715303	-0.748077832	-2.992806438	5.07576047	-11.90869325	-0.00333259	-0.003804324	9.49206E-06	0.001421941	4.794636462	-15.96847616	0.039005182	0.006014497	0.001643543	0.008660392	-0.012115546	0.868485672	-2.804610101	0.089519671	0.002481169	-0.001301069	0.00265541
0.833436333	374.9896383	188.6804803	182.8936734	301.2184491	18.27566652	4.233013408	12.22203163	13.03226812	4.863979565	2.518582476	33.39847355	59.23515952	6.776309762	33.79997997	34.43994192	1.978877772	1.682121351	40.46342479	34.85552063	931.3172072	87.80614768	274.8070757	1220.817669	299.5142851	50.09792783	20.74255443	14.55293177	177.6794602	107.0457372	6.004112164	86.88355466	12.00441247	9.080936089	9.520309836	10.81917819	17.45617731	16.00789612	138.7948128	143.0728691	4.569081002	1.312357376	1.040844334	108.5587767	167.2118808	8.308869202	26.34513995	72.07719026	97.78056376	394.6515161	903.3755188	11.29069491	119.5527048	9.369950247	26.74245631	-2.097027776	7.091462025	-0.83107935	-3.171872798	4.559331003	-11.6150837	-0.003059923	-0.004257247	-2.59276E-05	0.001246287	2.941356819	-14.46379257	0.038806057	0.005863276	0.001417592	0.008459083	-0.012398249	0.934585509	-2.941531418	0.08602441	0.002557597	-0.00129162	0.002773382
0.838729097	382.7684836	195.3450192	188.8628509	270.0391501	18.49248487	4.23434173	12.53954402	15.94450914	5.092125551	2.574354552	33.05027686	56.08993246	6.462473963	33.87755383	34.54760571	2.17479401	1.785411283	37.43428079	34.62958458	899.6373588	123.1528004	264.6213701	1108.230663	294.5049887	70.51774151	22.76663665	16.74388737	171.1216718	106.0504572	5.923195895	100.6574195	11.45899118	8.706699188	9.537138169	10.9217685	17.58662927	16.03097259	136.5116329	140.2268035	4.555241622	1.151600291	1.281225484	107.3907448	166.258162	10.56301985	33.67985173	74.38239627	107.7638685	382.6819786	881.4138171	12.59232879	110.3630287	9.728470773	26.46444602	-2.006534842	6.679828814	-0.958921305	-3.447677314	3.763907567	-11.16285559	-0.002639951	-0.004954856	-8.04822E-05	0.000975739	0.086868152	-12.14622422	0.038499358	0.00563036	0.001069574	0.008149019	-0.012833679	1.03639488	-3.152422607	0.080640882	0.002675314	-0.001277066	0.002955085
0.8430997	387.0536205	199.3668692	190.3727347	247.6197996	18.72288164	4.240710298	12.74320735	18.21900719	5.269594707	2.623946501	32.68338826	53.40023369	6.139584071	33.97329252	34.66883804	2.31522121	1.880546868	34.92369853	36.57590035	875.2879114	160.650698	252.0790899	1027.867952	293.5694605	89.44168211	23.74054688	19.02989459	165.8875988	105.7401066	5.965837078	113.5683925	11.04755081	8.604469978	9.584037073	10.99891958	17.68669216	16.05463271	137.258502	140.4353679	4.632694002	1.04890482	1.524107997	105.9768042	167.1920482	12.78442661	41.33457446	77.16761742	117.1393971	373.3828462	868.2503777	13.63825836	103.059769	9.966113356	26.15255307	-1.776397271	6.246330577	-1.213782225	-3.665879118	3.074085946	-10.48036235	-0.002602103	-0.005493877	5.21154E-05	0.001115793	-0.546051849	-10.54726393	0.038384519	0.005842528	0.001290843	0.007936281	-0.012426296	1.125784949	-3.401846127	0.076347041	0.002701361	-0.00136659	0.00284467
0.849102212	388.918513	202.0327712	185.0361661	220.7360651	18.95998513	4.241935996	13.16784625	20.87149159	5.497591791	2.698452112	32.03748002	50.28802305	5.734571967	34.07207545	34.80945028	2.589079327	2.026137712	31.4175924	42.52789355	852.8493328	239.4957272	240.581425	932.5872707	284.0351209	96.88717799	24.75580111	23.42389026	159.0984886	106.4572017	6.148592939	125.454946	10.54674541	8.57083278	9.689902938	11.11928857	17.83328026	16.16937888	144.6568786	148.3501931	4.742657371	0.949217321	1.965694155	103.3124819	169.6978596	16.43207766	54.69959987	82.1114749	135.359629	361.9328126	848.1476973	15.20974348	93.84346371	10.34336498	25.61895139	-1.372818295	5.598274219	-1.647870614	-3.96017675	2.108122431	-9.369007871	-0.002724096	-0.0062133	0.000334256	0.001512809	-0.444382611	-8.528551299	0.038304746	0.006361692	0.001881151	0.007668495	-0.011434936	1.251546908	-3.786788064	0.070535382	0.002697063	-0.001546719	0.002546364
0.854220619	389.414584	206.826682	182.4761456	201.6658977	19.13355635	4.23562154	13.65086516	23.4303873	5.626577495	2.767394705	31.84879298	49.04705424	5.519083316	34.09439828	34.86706584	2.887605763	2.193497461	28.60891371	51.22573477	831.3144535	309.7054671	228.1072354	858.9244014	276.4412786	98.58366605	25.44631501	25.89571528	153.8604237	106.2561222	6.246470846	132.5643936	10.16351065	8.572122427	9.673229791	11.2340118	17.97235297	16.3810683	150.5030337	154.9332659	4.795925634	0.910163429	2.456152645	100.4075809	171.3866194	20.06819126	69.17500552	87.20447867	154.4228709	349.1483665	827.9612515	17.04507958	87.65924911	10.79498563	25.28887918	-1.162997838	5.202334392	-1.752142366	-4.609579034	1.164860411	-8.231031705	-0.002740139	-0.006732463	0.000693001	0.001401697	0.27363697	-7.196859728	0.03838099	0.006059173	0.001945599	0.008280056	-0.010891955	1.399013782	-4.244724672	0.065935406	0.002420296	-0.001590551	0.002539949
0.860221573	397.9272289	213.4966536	181.7501239	183.0324824	19.27698485	4.227171999	14.34771173	26.99743882	5.77934773	2.852957083	31.88745084	48.89245361	5.353196142	34.12539544	34.93611802	3.378362929	2.467941984	25.72226415	67.92090111	798.3217749	373.2805204	214.702904	782.9177004	268.8737793	102.5507403	26.09324849	27.23845318	148.0703851	105.0909852	6.361611362	136.0699635	9.777927232	8.46143132	9.505186778	11.36623328	18.12762415	16.5577447	156.1641497	160.0209155	4.776326706	0.897132176	3.194811794	97.56637584	172.7101755	25.0172966	90.02417331	94.21981336	182.8985134	335.9722475	803.1121787	20.02884994	81.85170264	11.41187664	24.81904233	-0.945717584	4.780834625	-1.797646535	-5.482763792	0.030525874	-6.848109632	-0.002724818	-0.007311577	0.001156063	0.001174545	1.235387384	-5.748423171	0.038510396	0.005543412	0.001921631	0.009140509	-0.010337449	1.580146967	-4.808922384	0.06065958	0.002018408	-0.001623624	0.00253836
0.868057691	401.8548236	219.5372345	183.4274424	162.7133165	19.45779264	4.219849682	15.32595171	30.60245386	5.953597994	2.97112778	31.60220464	46.37582531	5.141347652	34.17184804	35.03663533	4.259405599	3.001638035	22.69053081	86.69073628	742.3740189	442.7300936	202.87002	699.8871021	252.9041896	97.36344306	26.70217877	28.26972568	141.0933282	102.031706	6.535360748	136.1338228	9.37746309	8.479311782	9.213047971	11.53377242	18.3243514	16.41219264	166.4548288	170.5846258	4.758309615	1.021686472	4.530914408	94.48568544	173.2060275	32.74148312	104.584737	104.518919	208.468899	316.9677722	773.3128071	22.74851146	72.53372902	12.21785591	23.94481811	-0.499233664	4.354397246	-1.501536295	-7.046606926	-1.40330178	-4.999138194	-0.002289684	-0.007861677	0.002203222	0.001397659	1.213241557	-4.391402504	0.038816909	0.005713641	0.002228637	0.008015392	-0.009841285	1.755586554	-5.373875591	0.054744471	0.00117727	-0.001975362	0.000632132
0.875365463	399.8307194	222.5651184	181.8413954	147.4090427	19.58453225	4.205793	16.35788335	31.2042802	6.082109146	3.083969193	32.17229825	47.10940325	5.005330323	34.79537245	35.09045727	5.342556646	3.736046431	20.53433608	97.72638596	680.7717607	479.9484268	190.4921686	635.1140986	245.6090327	92.00292842	27.16330271	28.97140646	135.3048783	96.90204539	6.939780692	137.3768255	9.081609759	8.851521756	8.816572235	11.69898409	18.51963999	16.56316947	175.6501704	182.305981	7.546252834	1.254067014	6.323814489	91.71419395	172.2786238	41.93013542	107.1225483	114.8030906	220.8604132	303.650512	746.7143197	23.84405274	65.23287417	13.02868169	25.84763576	-0.078367412	3.943753105	-1.567505085	-7.92464435	-2.567392155	-3.695591604	-0.002722652	-0.008147327	0.002882477	0.001201845	0.482387335	-3.3088311	0.039215561	0.006307172	0.002439327	0.004061357	-0.007380926	1.881103283	-5.790954068	0.049902821	0.000919403	-0.002051942	-0.000115199
0.882989464	395.1729679	223.7969495	175.8589101	134.9253937	19.66399901	4.188753718	17.64544542	29.89297595	6.204280077	3.242074743	33.27711012	50.72631465	4.922121643	35.57979017	35.13637407	7.053204479	4.563797921	18.6619829	103.7539231	616.7755042	518.4519755	183.0138639	577.2134574	227.8034434	86.95921743	27.55528516	29.53406522	129.8577532	89.85029435	7.490545612	134.8152688	8.857414058	9.030964781	8.283587177	11.87127379	18.72172098	16.42820899	184.1306375	194.0591459	11.35326318	1.582517025	9.131492291	89.08055923	169.3823533	53.24417159	108.867829	125.5720981	231.9724279	295.2275529	719.1911213	24.60076856	59.37828625	13.98914779	29.00155034	0.280154977	3.465415986	-1.551952562	-8.557576342	-3.576631982	-2.768351848	-0.003262824	-0.008375133	0.003567809	0.000996235	-0.125350404	-2.309099569	0.039674409	0.00711047	0.002667805	0.000476304	-0.005313423	1.980550947	-6.135064292	0.045508488	0.000936416	-0.002011634	-0.000384002
