ActuatorSpeeds																																			
version=1																																			
nRows=82																																			
nColumns=36																																			
inDegrees=no																																			
																																			
"This file contains either the forces, speeds, or powers developed"																																			
by the actuators of a model during a simulation.																																			
																																			
"An actuator force is a generalized force, meaning that it can be either a force (N) or a torque (Nm)."																																			
																																			
"An actuator speed is the rate at which an actuator shortens. Depending on the actuator,"																																			
a speed can be either a translational speed (m/s) or an angular speed (deg/s or rad/s).																																			
																																			
An actuator power (Watts) is the rate at which an actuator does work.  Positive power means																																			
that the actuator is delivering energy to the model; negative power means that the actuator																																			
is absorbing energy from the model.																																			
																																			
"Units are S.I. units (second, meters, Newtons, ...)"																																			
Angles are in degrees.																																			
																																			
endheader																																			
time	glut_med2_r	add_mag2_r	glut_max2_r	iliacus_r	rect_fem_r	vas_int_r	med_gas_r	tib_ant_r	FX	FY	FZ	MX	MY	MZ	hip_flexion_r_reserve	hip_adduction_r_reserve	hip_rotation_r_reserve	knee_angle_r_reserve	ankle_angle_r_reserve	subtalar_angle_r_reserve	mtp_angle_r_reserve	hip_flexion_l_reserve	hip_adduction_l_reserve	hip_rotation_l_reserve	knee_angle_l_reserve	ankle_angle_l_reserve	subtalar_angle_l_reserve	mtp_angle_l_reserve	lumbar_extension_reserve	lumbar_bending_reserve	lumbar_rotation_reserve				
0.780048706	0.010876982	-0.105782513	-0.048157085	0.068414758	0.122271513	0.018101608	0.041173245	-0.066722637	0.270177033	0.270177033	0.270177033	-0.586349958	-0.315778854	0.073604147	-1.153401595	0.899224175	0.005444079	-0.387788748	1.05734073	-0.498175262	0.286697626	2.481256053	-1.249600341	-1.905327165	-6.156175497	9.108610045	1.666402361	-46.43170447	0.051351726	0.653224773	0.810692008	0	-2.31584E+77	-2.31584E+77	28.92942103
0.790000728	0.013405016	-0.114333901	-0.051544694	0.071652037	0.113191901	0.004458737	0.053481055	-0.071719723	0.271952858	0.271952858	0.271952858	-0.625676753	-0.338148022	0.040708073	-1.221609749	0.995280171	0.032667104	-0.095504659	1.117249406	-0.624926622	-0.238658244	2.598042037	-1.360797947	-1.943416675	-5.895391794	8.101200634	1.330203921	-39.77959887	0.067942921	0.629185369	0.881930342	0	-2.31584E+77	-2.31584E+77	28.92942103
0.798619486	0.009338747	-0.124911061	-0.064131153	0.085176597	0.119109697	-0.007202353	0.053758367	-0.062368275	0.276489422	0.276489422	0.276489422	-0.633271877	-0.311575557	0.149981825	-1.435546437	1.036347128	0.019573973	0.154274855	0.970034412	-0.549806453	-0.001772404	2.517297727	-1.417811104	-1.866113965	-5.5888362	6.524107376	1.188095702	-31.77613793	-0.071474717	0.60343243	0.894297486	0	-2.31584E+77	-2.31584E+77	28.92942103
0.804443557	0.003115015	-0.133628321	-0.077412006	0.099435223	0.131173034	-0.014011068	0.057465246	-0.060465112	0.280630954	0.280630954	0.280630954	-0.623400458	-0.281419547	0.299527468	-1.658949503	1.04451363	0.005471013	0.300140995	0.962325948	-0.431108187	-0.166182569	2.354044953	-1.429772861	-1.769319095	-5.31707115	5.477292359	1.16885683	-26.57051135	-0.250051104	0.579451286	0.887518925	0	-2.31584E+77	-2.31584E+77	28.92942103
0.810080851	0.00035889	-0.133953117	-0.082290217	0.103089511	0.131868968	-0.01791391	0.057254422	-0.057399687	0.282514282	0.282514282	0.282514282	-0.593374394	-0.256760344	0.323852366	-1.717694146	1.02471715	0.001009148	0.383788701	0.903599306	-0.455751558	-0.139646743	2.330459509	-1.402018596	-1.674264649	-5.051716717	4.628947654	1.044350323	-22.06196467	-0.287329508	0.52866081	0.871711236	0	-2.31584E+77	-2.31584E+77	28.92942103
0.819974871	-0.006862604	-0.135907098	-0.09202655	0.111059311	0.13734969	-0.024110087	0.052763608	-0.048250962	0.286564144	0.286564144	0.286564144	-0.534300206	-0.242946268	0.416545655	-1.863103921	0.993082582	0.048006506	0.516661673	0.716862301	-0.579902463	0.114628691	2.178508433	-1.322346402	-1.503104861	-4.460936821	3.869975957	0.837686635	-14.76297261	-0.408767255	0.43183972	0.866815099	0	-2.31584E+77	-2.31584E+77	28.92942103
0.823781936	-0.01056025	-0.136044095	-0.094970897	0.113466717	0.139770032	-0.026031575	0.054420054	-0.048500895	0.287791707	0.287791707	0.287791707	-0.503141777	-0.252918671	0.455856839	-1.917714098	0.975143108	0.09951366	0.55789489	0.726601256	-0.554713656	-0.097296031	2.101222146	-1.272097659	-1.438685394	-4.207652819	3.708319107	0.758662122	-12.28827988	-0.460122838	0.383493616	0.874525174	0	-2.31584E+77	-2.31584E+77	28.92942103
0.830025049	-0.013072465	-0.130125757	-0.094315344	0.110544523	0.13301386	-0.029156968	0.053670101	-0.045664023	0.287893111	0.287893111	0.287893111	-0.442673139	-0.247899593	0.409352988	-1.884580325	0.920568493	0.13880529	0.624985057	0.662701219	-0.61923635	-0.138989303	2.120668978	-1.169256232	-1.31241428	-3.846268454	3.147306515	0.563690178	-8.638840765	-0.417126655	0.298476633	0.856981829	0	-2.31584E+77	-2.31584E+77	28.92942103
0.84	-0.019387445	-0.119761256	-0.0940797	0.107305469	0.123323087	-0.034977303	0.05108143	-0.037815151	0.286582781	0.286582781	0.286582781	-0.329175883	-0.233028844	0.351746399	-1.855247348	0.806544346	0.211925108	0.749953968	0.528783692	-0.601810455	-0.067695644	2.126282884	-0.958407763	-1.073537184	-3.270635263	2.056725944	0.252484487	-4.259819304	-0.366893912	0.156236455	0.811917457	0	-2.31584E+77	-2.31584E+77	28.92942103
0.846117296	-0.02408568	-0.1118191	-0.093500506	0.105052719	0.117033545	-0.038332081	0.050828807	-0.034355443	0.284161877	0.284161877	0.284161877	-0.248801283	-0.212359246	0.310370241	-1.830624743	0.715737649	0.253659348	0.822015551	0.481191371	-0.541933114	-0.103147243	2.134673786	-0.800214059	-0.903685238	-2.916426615	1.500731702	0.088818313	-2.058523639	-0.329130924	0.066612091	0.765659115	0	-2.31584E+77	-2.31584E+77	28.92942103
0.8508271	-0.026632762	-0.105524545	-0.092597321	0.102717188	0.110766876	-0.041059998	0.050229784	-0.031360506	0.281793948	0.281793948	0.281793948	-0.192512469	-0.195337845	0.263106736	-1.796764436	0.64978978	0.264502548	0.880609653	0.431295569	-0.529584789	-0.075729515	2.15850703	-0.681444866	-0.776149264	-2.647559826	1.138969289	-0.015429397	-0.348452637	-0.281119926	0.004436602	0.729408918	0	-2.31584E+77	-2.31584E+77	28.92942103
0.860007062	-0.032600878	-0.093267653	-0.091890228	0.09945222	0.10074509	-0.045784798	0.049051783	-0.026048682	0.275320133	0.275320133	0.275320133	-0.080038192	-0.153782776	0.187730931	-1.74793583	0.510894399	0.273525779	0.982084491	0.341107399	-0.514845754	0.016973392	2.18475099	-0.432746719	-0.514768128	-2.125196743	0.563939533	-0.179801027	2.504913193	-0.206660722	-0.110315411	0.646570228	0	-2.31584E+77	-2.31584E+77	28.92942103
0.87	-0.038370735	-0.081188665	-0.092618822	0.097218912	0.091204004	-0.050673192	0.048032417	-0.021449932	0.265712772	0.265712772	0.265712772	0.023943567	-0.088750627	0.113180532	-1.706099897	0.37016923	0.237645216	1.086941497	0.244182344	-0.584298339	0.170244939	2.213641262	-0.170752767	-0.216654431	-1.584488363	-0.000767343	-0.321490513	4.944093018	-0.132837308	-0.201821887	0.539129865	0	-2.31584E+77	-2.31584E+77	28.92942103
